start_date,end_date,hour_range,price_eur_per_mwh,price_eur_per_kwh,load_mw
2025-07-16T00:00:00+02:00,2025-07-16T01:00:00+02:00,00-01,74.97,0.075,12152.8
2025-07-16T01:00:00+02:00,2025-07-16T02:00:00+02:00,01-02,56.53,0.057,12777.9
2025-07-16T02:00:00+02:00,2025-07-16T03:00:00+02:00,02-03,55.26,0.055,13047.5
2025-07-16T03:00:00+02:00,2025-07-16T04:00:00+02:00,03-04,48.19,0.048,13401.5
2025-07-16T04:00:00+02:00,2025-07-16T05:00:00+02:00,04-05,44.71,0.045,13643.5
2025-07-16T05:00:00+02:00,2025-07-16T06:00:00+02:00,05-06,46.97,0.047,13590.2
2025-07-16T06:00:00+02:00,2025-07-16T07:00:00+02:00,06-07,52.33,0.052,13048.5
2025-07-16T07:00:00+02:00,2025-07-16T08:00:00+02:00,07-08,62.55,0.063,13401.2
2025-07-16T08:00:00+02:00,2025-07-16T09:00:00+02:00,08-09,75.2,0.075,14349.3
2025-07-16T09:00:00+02:00,2025-07-16T10:00:00+02:00,09-10,66.99,0.067,15859.0
2025-07-16T10:00:00+02:00,2025-07-16T11:00:00+02:00,10-11,42.63,0.043,18710.5
2025-07-16T11:00:00+02:00,2025-07-16T12:00:00+02:00,11-12,28.81,0.029,20875.7
2025-07-16T12:00:00+02:00,2025-07-16T13:00:00+02:00,12-13,53.6,0.054,22270.9
2025-07-16T13:00:00+02:00,2025-07-16T14:00:00+02:00,13-14,36.26,0.036,23121.1
2025-07-16T14:00:00+02:00,2025-07-16T15:00:00+02:00,14-15,33.25,0.033,22962.6
2025-07-16T15:00:00+02:00,2025-07-16T16:00:00+02:00,15-16,29.01,0.029,22133.4
2025-07-16T16:00:00+02:00,2025-07-16T17:00:00+02:00,16-17,39.76,0.04,20307.3
2025-07-16T17:00:00+02:00,2025-07-16T18:00:00+02:00,17-18,57.57,0.058,18168.7
2025-07-16T18:00:00+02:00,2025-07-16T19:00:00+02:00,18-19,79.1,0.079,15134.4
2025-07-16T19:00:00+02:00,2025-07-16T20:00:00+02:00,19-20,109.62,0.11,13419.1
2025-07-16T20:00:00+02:00,2025-07-16T21:00:00+02:00,20-21,122.84,0.123,12568.8
2025-07-16T21:00:00+02:00,2025-07-16T22:00:00+02:00,21-22,108.4,0.108,13205.5
2025-07-16T22:00:00+02:00,2025-07-16T23:00:00+02:00,22-23,117.4,0.117,12898.3
2025-07-16T23:00:00+02:00,2025-07-17T00:00:00+02:00,23-00,111.14,0.111,12301.9
